Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      900    0.003    0.000    0.114    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
      634    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      634    0.002    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3474    0.002    0.000    0.112    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/validator_cache.py:8(get_validator)
        8    0.000    0.000    0.111    0.014 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:365(decode_node_variable)
26898/25558    0.009    0.000    0.111    0.000 {built-in method builtins.getattr}
      900    0.001    0.000    0.109    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:411(<lambda>)
      900    0.002    0.000    0.108    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:907(__init__)
      813    0.006    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        8    0.000    0.000    0.106    0.013 /Applications/anaconda3/envs/phd/lib/python3.10/json/__init__.py:183(dumps)
        8    0.000    0.000    0.106    0.013 /Applications/anaconda3/envs/phd/lib/python3.10/json/encoder.py:182(encode)
      900    0.019    0.000    0.105    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:934(fillFormat)
        8    0.105    0.013    0.105    0.013 /Applications/anaconda3/envs/phd/lib/python3.10/json/encoder.py:204(iterencode)
2245/2244    0.021    0.000    0.096    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.095    0.016 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:749(calibrate)
        6    0.000    0.000    0.095    0.016 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:706(_calibrate_junction_tree)
        1    0.000    0.000    0.094    0.094 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/__init__.py:1(<module>)
     2463    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2563    0.091    0.000    0.091    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.087    0.087 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/application.py:1(<module>)
        1    0.000    0.000    0.083    0.083 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/application/__init__.py:1(<module>)
        1    0.000    0.000    0.082    0.082 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/application/application.py:1(<module>)
     1059    0.002    0.000    0.081    0.000 {built-in method builtins.sorted}
      624    0.080    0.000    0.080    0.000 {method 'read' of '_io.BufferedReader' objects}
      869    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      948    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.078    0.078 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/debugger.py:1(<module>)
        1    0.000    0.000    0.077    0.077 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/o2_fev1_point_in_time.py:61(build_pgmpy_model)
       18    0.000    0.000    0.077    0.004 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5046(_ret)
       18    0.000    0.000    0.077    0.004 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:449(find_closest_string)
     1683    0.000    0.000    0.076    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:450(_key)
1918/1683    0.053    0.000    0.076    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:430(levenshtein)
      624    0.072    0.000    0.072    0.000 {built-in method io.open_code}
      176    0.000    0.000    0.071    0.000 {method 'remove' of 'set' objects}
       10    0.000    0.000    0.070    0.007 /Applications/anaconda3/envs/phd/lib/python3.10/json/__init__.py:299(loads)
       10    0.000    0.000    0.070    0.007 /Applications/anaconda3/envs/phd/lib/python3.10/json/decoder.py:332(decode)
       10    0.070    0.007    0.070    0.007 /Applications/anaconda3/envs/phd/lib/python3.10/json/decoder.py:343(raw_decode)
  543/282    0.002    0.000    0.070    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:4796(__setitem__)
    36000    0.054    0.000    0.070    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:1018(__call__)
        1    0.000    0.000    0.068    0.068 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/completer.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/crashhandler.py:1(<module>)
      102    0.001    0.000    0.061    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:624(_update_beliefs)
     1925    0.016    0.000    0.060    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/utils/state_name.py:8(store_state_names)
        1    0.000    0.000    0.059    0.059 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/ultratb.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/__init__.py:1(<module>)
    36000    0.019    0.000    0.056    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
        7    0.000    0.000    0.054    0.008 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/MarkovNetwork.py:533(<dictcomp>)
        1    0.000    0.000    0.054    0.054 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/buffer.py:1(<module>)
        1    0.000    0.000    0.054    0.054 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/api/__init__.py:1(<module>)
       10    0.000    0.000    0.048    0.005 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inference/helpers.py:59(plot_histogram)
    36900    0.012    0.000    0.045    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:989(<genexpr>)
        1    0.000    0.000    0.043    0.043 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/interactiveshell.py:1(<module>)
      623    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      623    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
       88    0.001    0.000    0.038    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5236(_set_compound_prop)
       10    0.000    0.000    0.037    0.004 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/_subplots.py:1073(_init_subplot)
        1    0.000    0.000    0.036    0.036 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/completion/__init__.py:1(<module>)
       49    0.000    0.000    0.035    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5841(__setitem__)
       12    0.000    0.000    0.033    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/BayesianNetwork.py:874(copy)
        1    0.000    0.000    0.032    0.032 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/completion/base.py:1(<module>)
       30    0.001    0.000    0.032    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:659(_is_converged)
      104    0.001    0.000    0.032    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/CPD.py:90(__init__)
        1    0.000    0.000    0.031    0.031 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/formatted_text/__init__.py:1(<module>)
       89    0.000    0.000    0.031    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:2450(validate_coerce)
    36000    0.024    0.000    0.031    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:739(_extendLine)
        1    0.000    0.000    0.031    0.031 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/ipapp.py:1(<module>)
    23887    0.013    0.000    0.031    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.030    0.030 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/api/classes.py:1(<module>)
       12    0.000    0.000    0.029    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/BayesianNetwork.py:908(<listcomp>)
       96    0.000    0.000    0.029    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/CPD.py:274(copy)
    72000    0.029    0.000    0.029    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        1    0.000    0.000    0.028    0.028 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/magic.py:1(<module>)
    36900    0.014    0.000    0.027    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:984(<genexpr>)
      692    0.005    0.000    0.027    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:51(_str_to_dict_path_full)
      713    0.000    0.000    0.027    0.000 {built-in method builtins.next}
      148    0.000    0.000    0.027    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:2421(data_class)
     1699    0.001    0.000    0.027    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/re.py:288(_compile)
   123260    0.027    0.000    0.027    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.027    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/graph_objs/_figure.py:21364(update_xaxes)
      188    0.000    0.000    0.027    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/contextlib.py:139(__exit__)
        1    0.000    0.000    0.026    0.026 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/magics/__init__.py:1(<module>)
       44    0.000    0.000    0.026    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:2994(batch_update)
        8    0.001    0.000    0.026    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/BayesianNetwork.py:390(check_model)
       22    0.000    0.000    0.026    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:2859(plotly_update)
       19    0.001    0.000    0.026    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/base.py:63(__init__)
      626    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.025    0.025 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/formatted_text/ansi.py:1(<module>)
       64    0.001    0.000    0.025    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:882(is_valid_cpd)
